userid,username,forumid,most_active_forum
9377,ccSeller,216,Searching
9379,GH3TToBoSs2009,219,"VPN/ Proxies"
9384,sandora,182,"Die Fragen der Neulinge"
9390,miXer,182,"Die Fragen der Neulinge"
9393,Digifree,182,"Die Fragen der Neulinge"
9394,BLACKEMPERATOR,218,"Hochwertige Accounts"
9395,Lukas,211,"Goods / Drugs / Self Defense"
9397,pc_freak99,NULL,NULL
9400,redITALY,226,"Support / Kritik / Verbesserungsvorschläge"
9401,"koksbot 2.0",188,Vorstellungen
9407,Klapskalli,216,Searching
9408,test4eas,224,"Payment Accounts + CC's"
9409,hack3d,181,"Zahlungsmethoden und Cashout"
9410,ASUS_freak,182,"Die Fragen der Neulinge"
9411,bangyoursis,314,"Marktplatz Archiv"
9413,nico277,222,"Sonstige Accounts"
9414,accounts4sale,274,"Accounts / VPN, Socks"
9416,kinay01,212,"Services / Setup"
9418,Spongebob,236,"Hash Verschlüselungen / Passwort Cracking"
9419,hallohallo,182,"Die Fragen der Neulinge"
9421,Balkanic,209,Carding/Instorecarding
9422,seNsi2008,NULL,NULL
9426,PublicHero,182,"Die Fragen der Neulinge"
9427,mygirl,314,"Marktplatz Archiv"
9430,Slike,273,"Not Sorted"
9431,Freestyler_Tak,182,"Die Fragen der Neulinge"
9432,KaZaa,182,"Die Fragen der Neulinge"
9433,Kamikaze,211,"Goods / Drugs / Self Defense"
9440,KM92exe,188,Vorstellungen
9442,CreditCards,212,"Services / Setup"
9443,Pedda,170,"All about Fraud"
9444,Jonny,183,Diskussionen
9445,BossHoss,181,"Zahlungsmethoden und Cashout"
9448,gasmend,220,"Gaming Accounts"
9453,GhettoTurtle,273,"Not Sorted"
9454,IchBossDuNix,182,"Die Fragen der Neulinge"
9456,Snoopy55,212,"Services / Setup"
9458,derchillertyp,NULL,NULL
9461,DERCOOLECLINT,274,"Accounts / VPN, Socks"
9463,medo,181,"Zahlungsmethoden und Cashout"
9464,xcard,217,Droping/Packstation/Pickpoints...
9465,Eylex123,214,"Drops / Packstation"
9468,BaseDrums,NULL,NULL
9469,CoolBoy,NULL,NULL
9471,bubumaster,183,Diskussionen
9472,ch!xz,231,Botnet
9474,armizor,217,Droping/Packstation/Pickpoints...
9475,ZeroOwner,182,"Die Fragen der Neulinge"
9476,MontanaMax,224,"Payment Accounts + CC's"
9477,SpainDeluxe,249,Offtopic
9478,happys,182,"Die Fragen der Neulinge"
9479,accountseller,189,Tutorials
9480,"little z3r0",274,"Accounts / VPN, Socks"
9481,rofl33,274,"Accounts / VPN, Socks"
9483,Money4Payment,181,"Zahlungsmethoden und Cashout"
9484,Bombe009,NULL,NULL
9485,Overturn,216,Searching
9486,nanostray,222,"Sonstige Accounts"
9488,peter777,216,Searching
9491,ZiPPo,252,Crypter/Packer/Binder
9492,Suchka666,219,"VPN/ Proxies"
9494,brainwash1337,182,"Die Fragen der Neulinge"
9495,1llegal,NULL,NULL
9499,kingzaza45,215,"Tools / Malware"
9500,Knocki,214,"Drops / Packstation"
9503,skor,240,Webhosting
9505,fuck_systems,189,Tutorials
9506,jimmybob,314,"Marktplatz Archiv"
9507,f_white,189,Tutorials
9508,crackwh0re,214,"Drops / Packstation"
9509,2trist,182,"Die Fragen der Neulinge"
9510,FU-Yok,182,"Die Fragen der Neulinge"
9511,Slang,NULL,NULL
9512,0grish,212,"Services / Setup"
9513,georgr123,NULL,NULL
9514,PhantAsm,174,Paymentsystems
9515,Fuyox3,174,Paymentsystems
9516,TUTK1NG,274,"Accounts / VPN, Socks"
9517,Pr0h4ck3r,188,Vorstellungen
9518,Solid1234,NULL,NULL
9520,Herz0g,189,Tutorials
9521,CCprogamer,NULL,NULL
9522,PeteSniff,211,"Goods / Drugs / Self Defense"
9523,g-mod,189,Tutorials
9524,ingredible,181,"Zahlungsmethoden und Cashout"
9525,Yahel,212,"Services / Setup"
9526,Soniix,181,"Zahlungsmethoden und Cashout"
9527,Marcellus,181,"Zahlungsmethoden und Cashout"
9528,lol-wtf,211,"Goods / Drugs / Self Defense"
9529,Xellent,NULL,NULL
9530,Daywalker,182,"Die Fragen der Neulinge"
9531,Chakuza,NULL,NULL
9532,blackplanet,NULL,NULL
9533,jonnyh667766,238,Trojaner
9534,tomizme,NULL,NULL
9535,Detlev,249,Offtopic
9538,choco-pie,182,"Die Fragen der Neulinge"
9539,klodeckel,189,Tutorials
9540,nate,212,"Services / Setup"
9541,missulasch,181,"Zahlungsmethoden und Cashout"
9542,aLph4Tier,216,Searching
9543,zet0,214,"Drops / Packstation"
9544,Bam,NULL,NULL
9545,ximmyaner,249,Offtopic
9546,HouseWLW,182,"Die Fragen der Neulinge"
9547,ItsMagic,182,"Die Fragen der Neulinge"
9548,cboolator,273,"Not Sorted"
9549,Perezhilton,274,"Accounts / VPN, Socks"
9551,Kira,NULL,NULL
9553,m0nk,NULL,NULL
9554,$$man,NULL,NULL
9556,#1103;/R/#1103;,222,"Sonstige Accounts"
9558,Digipal,274,"Accounts / VPN, Socks"
9559,Ochoa,NULL,NULL
9560,cRanc,181,"Zahlungsmethoden und Cashout"
9561,katan10,171,"Virtual Carding"
9562,sektenfire,182,"Die Fragen der Neulinge"
9563,LiLaLaunebaer,216,Searching
9564,nomnomq,231,Botnet
9565,Maskulin,183,Diskussionen
9566,Terrorhost,182,"Die Fragen der Neulinge"
9567,shdiam0nd,NULL,NULL
9568,Hans.Dieter.HD,216,Searching
9569,Crax0r,212,"Services / Setup"
9570,Cr4ckEd,209,Carding/Instorecarding
9571,Brutus,182,"Die Fragen der Neulinge"
9572,B1G,209,Carding/Instorecarding
9573,s1ck0n3,171,"Virtual Carding"
9574,razer413,216,Searching
9576,bifrostilo,212,"Services / Setup"
9577,niiq,222,"Sonstige Accounts"
9578,GKink70,219,"VPN/ Proxies"
9579,m0rphin,257,"Rechtliches / Legal"
9580,Lolz0r,182,"Die Fragen der Neulinge"
9581,$73f4n,NULL,NULL
9582,Sh4d0wH4wk,189,Tutorials
9583,D3NN1Sxxx,280,Solved
9584,serpe,216,Searching
9585,Arschloch,270,"CC's / Identification / Dumps"
9586,ganja405,183,Diskussionen
9587,manus,203,"Virtual creditcard (Cvv)"
9588,HitchCocK,NULL,NULL
9589,Vicious,216,Searching
9591,fukuda,NULL,NULL
9592,NedoB,189,Tutorials
9593,4got10,183,Diskussionen
9594,Claude,211,"Goods / Drugs / Self Defense"
9595,PATYA,314,"Marktplatz Archiv"
9596,SceneCoderZ,267,Unsorted
9597,Kitatix,181,"Zahlungsmethoden und Cashout"
9598,Malware,NULL,NULL
9599,mari,274,"Accounts / VPN, Socks"
9600,Chr|s,NULL,NULL
9601,wLan-kabel,270,"CC's / Identification / Dumps"
9602,Mr.Dee,182,"Die Fragen der Neulinge"
9603,silver-sk8,NULL,NULL
9604,Zukunft,209,Carding/Instorecarding
9605,Don,NULL,NULL
9606,Wladikey,NULL,NULL
9607,Dischi,216,Searching
9608,Sguschonka,211,"Goods / Drugs / Self Defense"
9610,sptr,181,"Zahlungsmethoden und Cashout"
9611,JohnnyBlaze,182,"Die Fragen der Neulinge"
9612,StealerExe,215,"Tools / Malware"
9615,D3NN1Sx,280,Solved
9617,doker,216,Searching
9618,meini7,239,Funktechnik
9620,~Tony~,212,"Services / Setup"
9621,ThePretender,NULL,NULL
9622,Decker,274,"Accounts / VPN, Socks"
9624,PommesGabel,216,Searching
9626,APPA,NULL,NULL
9627,test551,NULL,NULL
9629,smoke_weed,274,"Accounts / VPN, Socks"
9630,GabberGandalf,214,"Drops / Packstation"
9631,Zerozucka,NULL,NULL
9632,fantas,251,Sonstiges
9633,M0RPHEUS,169,"About Forum - News"
9634,Aietes,216,Searching
9635,Geld.de,NULL,NULL
9636,PowerPoul,NULL,NULL
9639,Korsastoff,NULL,NULL
9641,h4x0r,270,"CC's / Identification / Dumps"
9644,Crisis,NULL,NULL
9645,perfect,NULL,NULL
9646,Pindolek,216,Searching
9647,BackStab,NULL,NULL
9648,Parkour_,211,"Goods / Drugs / Self Defense"
9649,bergmanndreck/n0nam3,NULL,NULL
9651,Raz313373,NULL,NULL
9652,Maniac,182,"Die Fragen der Neulinge"
9657,BurnA,211,"Goods / Drugs / Self Defense"
9660,H3LL5PAWN,188,Vorstellungen
9661,Sh0ck,216,Searching
9662,s0red,216,Searching
9666,pLaTtFuSs,252,Crypter/Packer/Binder
9674,t0sh1n,212,"Services / Setup"
9673,Liquid,212,"Services / Setup"
9669,Juri,168,"<FONT COLOR=#FF0000>Forum Rules</FONT>"
9683,h3l1,329,"Newbie Searching"
9685,Kasper12,NULL,NULL
9694,Mystok,181,"Zahlungsmethoden und Cashout"
9699,ZeuS,NULL,NULL
9700,BliggerDMX,NULL,NULL
10551,only1,NULL,NULL
9710,Mastermix,NULL,NULL
9714,jebemvas,NULL,NULL
13028,Sun,NULL,NULL
9719,aschi2131,NULL,NULL
9723,X-Zero,NULL,NULL
9731,don_mooze,NULL,NULL
9733,Eylex,NULL,NULL
9740,iStore,NULL,NULL
9742,any0n3,NULL,NULL
9745,FIN4LShare,NULL,NULL
9748,Schena77,NULL,NULL
9756,Messias91,NULL,NULL
9767,mbAK,NULL,NULL
9777,SPAS,224,"Payment Accounts + CC's"
9778,egmac,251,Sonstiges
9783,TheIrd21,216,Searching
9784,To4,182,"Die Fragen der Neulinge"
9786,C:\,182,"Die Fragen der Neulinge"
9787,Lena_Meyer_Landruth,314,"Marktplatz Archiv"
9792,Jacobs,188,Vorstellungen
9793,genocide,NULL,NULL
9794,Fr3ak,249,Offtopic
9795,RealCarding,181,"Zahlungsmethoden und Cashout"
9797,huR0ku,280,Solved
9798,K-1,216,Searching
9799,TORCIDA1950,249,Offtopic
9802,Sveiven.Info,188,Vorstellungen
9803,Timez,181,"Zahlungsmethoden und Cashout"
9804,Mango,NULL,NULL
9807,Thnallgzt,209,Carding/Instorecarding
9808,m4rs,196,"Nachrichten Germany"
9809,Frezzerblack,211,"Goods / Drugs / Self Defense"
9811,cagoist,246,"Software &amp; OS"
9813,Elite-Tjak,249,Offtopic
9815,Exutor,181,"Zahlungsmethoden und Cashout"
9816,Luigi,216,Searching
9818,S!lence,221,"Warez Accounts"
9822,DR.LAN,212,"Services / Setup"
9958,F4m0z,NULL,NULL
9823,VTX.,209,Carding/Instorecarding
9824,malakas2,212,"Services / Setup"
9825,bigman,209,Carding/Instorecarding
9826,kizzarlab,189,Tutorials
9827,Meini77,265,"Tools / Software"
9830,Black-Blood,NULL,NULL
9833,BigVic,216,Searching
9834,supercarder,188,Vorstellungen
9835,debithunter,182,"Die Fragen der Neulinge"
9836,strullus,NULL,NULL
9837,Imperator,231,Botnet
9839,Starhunter,182,"Die Fragen der Neulinge"
9840,KxT,182,"Die Fragen der Neulinge"
9843,jeason,182,"Die Fragen der Neulinge"
9841,Dr.House,211,"Goods / Drugs / Self Defense"
9845,Jan2142,NULL,NULL
9849,Scanner,182,"Die Fragen der Neulinge"
9851,FearedPerson,212,"Services / Setup"
9855,Birke,NULL,NULL
9859,xXuXuXx,NULL,NULL
9861,11111,194,"Skimming und Vorschaltgeräte"
9862,Sony2010,209,Carding/Instorecarding
9866,klloner,211,"Goods / Drugs / Self Defense"
9867,hackxinc,169,"About Forum - News"
9868,EM-DE-EM-AA,279,User-Beschwerden
9870,canaster,NULL,NULL
9872,cpufreezer,NULL,NULL
9875,marojaner,216,Searching
9876,Racer1702,211,"Goods / Drugs / Self Defense"
9878,BlooDinBloodOut,182,"Die Fragen der Neulinge"
9879,KaniaOr,188,Vorstellungen
9880,Crackstar1337,181,"Zahlungsmethoden und Cashout"
9881,AIRS,182,"Die Fragen der Neulinge"
9886,Moabiter,216,Searching
9889,trxit,221,"Warez Accounts"
9890,1337,247,"Hardware and Tuning"
9892,nasty2116,270,"CC's / Identification / Dumps"
9896,cyber,251,Sonstiges
9897,Panther,NULL,NULL
9901,kaboom,183,Diskussionen
9907,Corle1,NULL,NULL
9908,Morph0,196,"Nachrichten Germany"
9910,jon_lee,NULL,NULL
9911,Balica,216,Searching
9912,Jumpy,182,"Die Fragen der Neulinge"
9917,BlackSniper,224,"Payment Accounts + CC's"
9920,Opi,NULL,NULL
9923,MDesign6,NULL,NULL
9924,Cyberjunkie3.0,NULL,NULL
9927,Hackulous,211,"Goods / Drugs / Self Defense"
9932,MulKaP,NULL,NULL
9934,Hackzilla,188,Vorstellungen
9938,verifyme,NULL,NULL
9943,tekoser,183,Diskussionen
9945,Wusel,NULL,NULL
9947,masterblade33,NULL,NULL
9948,TeamAlpha,189,Tutorials
9950,Paloxus,NULL,NULL
9951,0x003,183,Diskussionen
9960,GayPal,211,"Goods / Drugs / Self Defense"
9962,lennypenny,NULL,NULL
9963,blade,222,"Sonstige Accounts"
9968,Tronical,216,Searching
9973,4chan.org2,216,Searching
9974,releven,NULL,NULL
9982,ktosexy,216,Searching
9986,elazed,181,"Zahlungsmethoden und Cashout"
9987,st3rn,NULL,NULL
9988,RbK69,196,"Nachrichten Germany"
9989,couchpotato,249,Offtopic
9990,angeldust1,183,Diskussionen
9991,w8173,NULL,NULL
9992,Acid_Burn,188,Vorstellungen
9993,DER_PHARMAKANT,171,"Virtual Carding"
9994,CroLegendCop1991,182,"Die Fragen der Neulinge"
9997,winkelmann72,NULL,NULL
10259,myaccount,221,"Warez Accounts"
9998,AX,NULL,NULL
9999,VPN24,179,"<font color=#FF8C00>Anonymity Services</font>"
10001,Packstation24,182,"Die Fragen der Neulinge"
14940,rbzbaby,NULL,NULL
10406,zahlenpilz,239,Funktechnik
10033,haddemann,NULL,NULL
10361,DaCongo,NULL,NULL
10237,HD_carder,NULL,NULL
10137,Snoosius,183,Diskussionen
10002,zameit,214,"Drops / Packstation"
10078,pspsucht,NULL,NULL
10008,Pain,211,"Goods / Drugs / Self Defense"
10100,c0retax,181,"Zahlungsmethoden und Cashout"
10009,TH4LON,188,Vorstellungen
10010,Matr0x112,266,Media
10011,[D4M],188,Vorstellungen
10019,Mushroom,188,Vorstellungen
10021,Kickstar,258,Lifestyle
10024,ibi,NULL,NULL
10025,Mazat,NULL,NULL
10030,Redsquad,214,"Drops / Packstation"
10035,Lavados,215,"Tools / Malware"
10306,Coldfear33,214,"Drops / Packstation"
10040,Ben-Harder,NULL,NULL
10041,OPTIMIS,211,"Goods / Drugs / Self Defense"
10043,zapdos,NULL,NULL
10044,BülentAmca,NULL,NULL
10046,Mayo,278,Ripper-Reports
10047,herbert11,NULL,NULL
10048,Gdogg213,182,"Die Fragen der Neulinge"
10049,prinZ,211,"Goods / Drugs / Self Defense"
10050,CrackBitch,NULL,NULL
10054,DER-FLUCH,249,Offtopic
10057,FakEr-nR.1,181,"Zahlungsmethoden und Cashout"
10058,m0rten,209,Carding/Instorecarding
10064,"Dr. Carder",216,Searching
10065,S3r3,NULL,NULL
10068,E1sT33,214,"Drops / Packstation"
16437,guarana,NULL,NULL
16438,sylla,NULL,NULL
16439,IceberK,NULL,NULL
16440,LUNATIC,NULL,NULL
16441,Famouscliq,246,"Software &amp; OS"
10074,R0MANCE,211,"Goods / Drugs / Self Defense"
10077,xanatos1992,NULL,NULL
10081,JAWAD44,NULL,NULL
10082,DINOSH,NULL,NULL
10083,nirshb,181,"Zahlungsmethoden und Cashout"
10085,Cranky_Baby,NULL,NULL
10086,pl.style,NULL,NULL
10090,NightyShine,181,"Zahlungsmethoden und Cashout"
10092,anonym,196,"Nachrichten Germany"
10093,plnet,NULL,NULL
10094,wilka,NULL,NULL
10095,delsud,182,"Die Fragen der Neulinge"
10097,"the B3St",220,"Gaming Accounts"
10099,0655355,249,Offtopic
10101,marru7,219,"VPN/ Proxies"
10103,Hardstyler,NULL,NULL
10105,webba,NULL,NULL
10110,lolololol,NULL,NULL
10112,BLACKRAiN,NULL,NULL
10115,Talik,NULL,NULL
10116,Evil,216,Searching
10117,Jeremy_Scott,181,"Zahlungsmethoden und Cashout"
10118,b14ckf1ag,274,"Accounts / VPN, Socks"
16445,LeadOr@web.de,NULL,NULL
10121,_wayne,183,Diskussionen
10122,dukiereloadedxxx,203,"Virtual creditcard (Cvv)"
10125,Dash,NULL,NULL
10132,h3h3y9,181,"Zahlungsmethoden und Cashout"
10136,MakedbyNe,249,Offtopic
10138,plu5,NULL,NULL
10140,koparik,196,"Nachrichten Germany"
10145,The3nd,181,"Zahlungsmethoden und Cashout"
10146,Kingkillakasten,NULL,NULL
10152,puTin_x,194,"Skimming und Vorschaltgeräte"
10157,1337s,209,Carding/Instorecarding
10159,Prinz.,NULL,NULL
10160,Luschiss,NULL,NULL
10166,KanyeWest,188,Vorstellungen
10163,Siliepeter1992,NULL,NULL
10164,baba,NULL,NULL
10167,Acc3ss,NULL,NULL
10168,Willi27,181,"Zahlungsmethoden und Cashout"
10170,Aa12,NULL,NULL
10179,k0ckOck3r,NULL,NULL
10181,.Syn,246,"Software &amp; OS"
10183,skanderbeg3,181,"Zahlungsmethoden und Cashout"
10193,TOD&amp;HASS,182,"Die Fragen der Neulinge"
10204,ladykiller,183,Diskussionen
10214,404-not-found,NULL,NULL
10218,Frank_White,183,Diskussionen
10228,kirmii,216,Searching
10224,anOObis,NULL,NULL
10229,kenny1547,181,"Zahlungsmethoden und Cashout"
10230,Roxkiller,211,"Goods / Drugs / Self Defense"
10231,longdong,188,Vorstellungen
10232,Ersguterjunge,NULL,NULL
10233,Carderfreak,NULL,NULL
10236,Kratus,189,Tutorials
10239,Para,188,Vorstellungen
10240,copilot,NULL,NULL
10242,Liberto,NULL,NULL
10245,Darky,NULL,NULL
10248,Ordinat,181,"Zahlungsmethoden und Cashout"
10249,ErAsEr,NULL,NULL
10250,Postbank,181,"Zahlungsmethoden und Cashout"
10252,Bundeskanzler,NULL,NULL
10253,Nilarus,182,"Die Fragen der Neulinge"
10257,HansDERKanns,181,"Zahlungsmethoden und Cashout"
10258,CC-Seller32,212,"Services / Setup"
10262,mysterio09,214,"Drops / Packstation"
10263,th3sh4dow,216,Searching
10264,stef0,182,"Die Fragen der Neulinge"
10265,D30N,196,"Nachrichten Germany"
10267,x35,NULL,NULL
10269,Sickla,211,"Goods / Drugs / Self Defense"
10284,Kleptomanie,183,Diskussionen
10281,thatslife,211,"Goods / Drugs / Self Defense"
10283,card4life,NULL,NULL
10288,BliggerxDMXx,181,"Zahlungsmethoden und Cashout"
10296,TreZc0_,256,"Technik Allgemein"
10299,freezer69,NULL,NULL
10302,Neo55,NULL,NULL
10303,r2d2,NULL,NULL
10305,Laikz,181,"Zahlungsmethoden und Cashout"
10308,aimless,220,"Gaming Accounts"
10309,MerliN,217,Droping/Packstation/Pickpoints...
10310,stage6,182,"Die Fragen der Neulinge"
10311,TheRazor,183,Diskussionen
10313,Tetroid,NULL,NULL
10314,funnyhai,183,Diskussionen
10317,Vitamalz,181,"Zahlungsmethoden und Cashout"
10320,dudoslaw,NULL,NULL
10321,Blümchen,181,"Zahlungsmethoden und Cashout"
10322,gOsha,NULL,NULL
10323,sebjsp,NULL,NULL
10325,Managarm1,188,Vorstellungen
10328,GeowNt,NULL,NULL
10329,identic22,209,Carding/Instorecarding
10330,D4rKnesS,212,"Services / Setup"
10332,cardingboy1,NULL,NULL
10333,Giligen,182,"Die Fragen der Neulinge"
10341,Brain,NULL,NULL
10343,c00mrade,209,Carding/Instorecarding
10345,black&amp;white,NULL,NULL
10346,lunchpaket,NULL,NULL
10349,duderille,NULL,NULL
10350,pabloescobar,182,"Die Fragen der Neulinge"
10463,FLANDERS,225,"<font color=#FF8C00>Payment Accounts</font>"
10356,undergr0und1077,NULL,NULL
10358,HERO.IN,182,"Die Fragen der Neulinge"
10359,c1ox,188,Vorstellungen
10362,SzefPL,NULL,NULL
10363,123456,236,"Hash Verschlüselungen / Passwort Cracking"
10368,superstar,240,Webhosting
10369,Butterlutter,216,Searching
10382,Dreamer,209,Carding/Instorecarding
10383,Yimmoth,NULL,NULL
10384,AMOX,216,Searching
10385,Yuno,238,Trojaner
10386,TERRORIZT,181,"Zahlungsmethoden und Cashout"
10394,Coronel,NULL,NULL
10395,edd18,215,"Tools / Malware"
10397,Dr.Og3n,NULL,NULL
10400,cash1,NULL,NULL
10402,Summerstorm,188,Vorstellungen
10404,whigger,NULL,NULL
10405,jay_jay,188,Vorstellungen
10408,l0L-haxx,251,Sonstiges
10410,Miller,220,"Gaming Accounts"
10414,C4$h,182,"Die Fragen der Neulinge"
10416,S0lt,234,Injections
10419,Chesterboi,181,"Zahlungsmethoden und Cashout"
10420,voo,182,"Die Fragen der Neulinge"
10427,arkantos,NULL,NULL
10426,knalipis,NULL,NULL
10428,arguelloz,224,"Payment Accounts + CC's"
10429,itaLyan,NULL,NULL
10430,BIGBOSS,182,"Die Fragen der Neulinge"
10434,fitstar,NULL,NULL
10435,O.M.A,188,Vorstellungen
10437,Psyro,NULL,NULL
10439,Horst,NULL,NULL
10441,Burner4Life,NULL,NULL
10442,summerstyle,NULL,NULL
10443,piXeL,209,Carding/Instorecarding
10444,papryka,NULL,NULL
10456,torte,NULL,NULL
10450,hack_man,NULL,NULL
10454,DeepBlue,NULL,NULL
10455,powerarm,189,Tutorials
10459,m3g4trn,NULL,NULL
10460,$t€v€,NULL,NULL
10464,Dos,181,"Zahlungsmethoden und Cashout"
10467,jingzo,NULL,NULL
10468,Cr4ck,181,"Zahlungsmethoden und Cashout"
10472,famouslol,183,Diskussionen
10479,Bombenleger,NULL,NULL
10480,knackslecasse,NULL,NULL
10481,Daddy,NULL,NULL
10483,jeroen31,NULL,NULL
10484,nwd,181,"Zahlungsmethoden und Cashout"
10486,Äxt3r,209,Carding/Instorecarding
10487,BlondesGift,NULL,NULL
10488,grep,NULL,NULL
10490,3l3fant,211,"Goods / Drugs / Self Defense"
10494,MEISTER-DANJO,189,Tutorials
10499,RAMBO,238,Trojaner
10502,.cokie,NULL,NULL
10503,rly,NULL,NULL
10504,anghtwolf68,182,"Die Fragen der Neulinge"
10506,ucitsme,280,Solved
10507,"TeCkT0Niik x3",181,"Zahlungsmethoden und Cashout"
10510,d0zzer,188,Vorstellungen
10512,TCore,NULL,NULL
10513,Doomypga_,328,"Newbie Market"
10516,fred,NULL,NULL
10519,SlamD,181,"Zahlungsmethoden und Cashout"
10521,wall,252,Crypter/Packer/Binder
10522,DarkNight,NULL,NULL
10523,schafi,181,"Zahlungsmethoden und Cashout"
10525,Montana,183,Diskussionen
10529,Dr.0Bit,NULL,NULL
10531,Keks!,223,Identitäten/Docs/IDs/
10532,jezzz,219,"VPN/ Proxies"
10533,Naven,NULL,NULL
10536,holand7896,NULL,NULL
10538,"Master *C*",NULL,NULL
10542,Lameas,211,"Goods / Drugs / Self Defense"
10544,knom,211,"Goods / Drugs / Self Defense"
10546,Virgo,181,"Zahlungsmethoden und Cashout"
10547,JesseJames1,216,Searching
10548,se7en1337,211,"Goods / Drugs / Self Defense"
10554,ardo,NULL,NULL
10556,Neurosis,257,"Rechtliches / Legal"
10562,Craig,NULL,NULL
10563,PassW,NULL,NULL
10564,ChrisTukka,181,"Zahlungsmethoden und Cashout"
10566,K0LLEGAH,181,"Zahlungsmethoden und Cashout"
10572,Lyrex,NULL,NULL
10573,TryTrickMe,NULL,NULL
10578,WasWillstDuDenn?,183,Diskussionen
10583,DIGITZ,211,"Goods / Drugs / Self Defense"
11120,Suplex,NULL,NULL
10586,Blackfire1,NULL,NULL
10597,kOxp,NULL,NULL
10601,morpheus,NULL,NULL
10602,Lan-Kabel,249,Offtopic
10608,r0ting,183,Diskussionen
10612,staker,216,Searching
10614,corki,211,"Goods / Drugs / Self Defense"
10898,Nirokx,NULL,NULL
10617,Wayneforme,NULL,NULL
10618,CCZERO,NULL,NULL
10620,ChiLLerDad,NULL,NULL
10621,lukim,NULL,NULL
10622,Stui,NULL,NULL
10623,anstroid,216,Searching
10624,Pfirsich,220,"Gaming Accounts"
10626,Recover,211,"Goods / Drugs / Self Defense"
10627,cortex777,NULL,NULL
10635,jimbeam,251,Sonstiges
10628,Windows.exe,NULL,NULL
10629,lxr,NULL,NULL
10630,pxrel,NULL,NULL
10631,SperIe,239,Funktechnik
10633,Patrick_Star,NULL,NULL
10634,cybergh0st,270,"CC's / Identification / Dumps"
10638,badboy1012,181,"Zahlungsmethoden und Cashout"
10639,Bier,209,Carding/Instorecarding
16454,totti55,NULL,NULL
10642,silenthill,196,"Nachrichten Germany"
10645,MARUSSIA,NULL,NULL
10644,suffering,NULL,NULL
11922,Jos3m2,NULL,NULL
10648,Sp3rl3,NULL,NULL
10893,figaro,209,Carding/Instorecarding
10658,Skrupellos,NULL,NULL
10662,Vshlog123,211,"Goods / Drugs / Self Defense"
10666,Exor,249,Offtopic
10744,ZaPP,209,Carding/Instorecarding
16478,J0n@z,NULL,NULL
10698,derschlumpf,181,"Zahlungsmethoden und Cashout"
10671,pillemann,221,"Warez Accounts"
16461,Levis,NULL,NULL
16462,Milkyway,NULL,NULL
10673,#FaiL#,183,Diskussionen
10678,h00dranger,NULL,NULL
11053,b0oz,NULL,NULL
10682,carder123,181,"Zahlungsmethoden und Cashout"
10684,cubemaster1337,273,"Not Sorted"
10731,HuGo,189,Tutorials
10724,Profi,NULL,NULL
10825,Shinzo,NULL,NULL
10689,kingkong2011,NULL,NULL
10690,Razzor,NULL,NULL
10694,ww23,204,"English Main"
10899,CCHAOS,183,Diskussionen
10701,K0MMISSAR,249,Offtopic
10706,SanYa,258,Lifestyle
10707,topfrisch,183,Diskussionen
10747,idf2107.4,182,"Die Fragen der Neulinge"
10710,Ign0rant,NULL,NULL
10713,Supermaster,NULL,NULL
10715,travis911,171,"Virtual Carding"
10718,Rick258,NULL,NULL
10721,.tuX,223,Identitäten/Docs/IDs/
10723,Jury,NULL,NULL
10791,cash,181,"Zahlungsmethoden und Cashout"
10880,hugermuger,NULL,NULL
10790,tork,NULL,NULL
10729,babuschka,214,"Drops / Packstation"
10730,Russland,211,"Goods / Drugs / Self Defense"
10732,schischaboy,209,Carding/Instorecarding
10734,SAMSUNG_freak,NULL,NULL
10736,Profi_carder,211,"Goods / Drugs / Self Defense"
10738,PSdropper,183,Diskussionen
10739,SANSUN,183,Diskussionen
10740,flersguterjunge,183,Diskussionen
10741,cH4in,NULL,NULL
10743,Atomic,NULL,NULL
10746,paradox,212,"Services / Setup"
10748,Inferno,189,Tutorials
11057,Luca,189,Tutorials
10749,bruce_lee,182,"Die Fragen der Neulinge"
10751,blatnoj123,216,Searching
10753,mustang,NULL,NULL
10756,Crunx,NULL,NULL
10758,Aris,211,"Goods / Drugs / Self Defense"
10762,BEL0S,249,Offtopic
10764,Mr.vip,209,Carding/Instorecarding
10765,Nova51,NULL,NULL
10771,Dixis121,249,Offtopic
10769,Dannat,182,"Die Fragen der Neulinge"
10772,Thym,314,"Marktplatz Archiv"
10770,0xyG3N,219,"VPN/ Proxies"
10775,neonaut,182,"Die Fragen der Neulinge"
10781,Captain.Banane,251,Sonstiges
10870,$P45CH4$,NULL,NULL
10785,Dulli,NULL,NULL
10786,Escobar,NULL,NULL
12049,olleg,NULL,NULL
12022,Clauz,188,Vorstellungen
12379,leech122,206,"Online banking logins"
10793,Locke,NULL,NULL
10795,WooZie,181,"Zahlungsmethoden und Cashout"
13403,rammeljoe,181,"Zahlungsmethoden und Cashout"
10797,Arschkeks,273,"Not Sorted"
10799,L33T,189,Tutorials
10800,bozz65,NULL,NULL
10850,Ch1ller,NULL,NULL
10801,gamersworld,NULL,NULL
10802,exitex,NULL,NULL
10803,Toyo,257,"Rechtliches / Legal"
10804,DrAg0n141,181,"Zahlungsmethoden und Cashout"
10805,17hacker13,181,"Zahlungsmethoden und Cashout"
10807,D.F.,171,"Virtual Carding"
10808,leet0r,NULL,NULL
10809,XANTH0S,211,"Goods / Drugs / Self Defense"
10816,iNs,265,"Tools / Software"
